Label,Ann. Return,Ann. Volatility,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown,VaR 95% (daily),CVaR 95% (daily),BTC Weight,ETH Weight,Crypto Total,Optimal
0% crypto (0.0% BTC + 0.0% ETH),0.109858,0.110465,0.587138,0.984096,0.641804,-0.171171,-0.009264,-0.011776,0.000000,0.000000,0.000000,False
1% crypto (0.7% BTC + 0.3% ETH),0.109940,0.109612,0.592453,0.992452,0.678493,-0.162036,-0.009299,-0.011679,0.007140,0.002860,0.010000,False
2% crypto (1.4% BTC + 0.6% ETH),0.110022,0.109078,0.596105,0.995964,0.706265,-0.155780,-0.009243,-0.011617,0.014280,0.005720,0.020000,False
3% crypto (2.1% BTC + 0.9% ETH),0.110104,0.108868,0.598012,0.999646,0.735720,-0.149655,-0.009185,-0.011595,0.021420,0.008580,0.030000,False
4% crypto (2.9% BTC + 1.1% ETH),0.110186,0.108982,0.598137,1.001603,0.767826,-0.143504,-0.009112,-0.011604,0.028560,0.011440,0.040000,True
5% crypto (3.6% BTC + 1.4% ETH),0.110268,0.109421,0.596489,0.997012,0.802957,-0.137328,-0.009118,-0.011622,0.035700,0.014300,0.050000,False
6% crypto (4.3% BTC + 1.7% ETH),0.110350,0.110180,0.593125,0.994447,0.790536,-0.139589,-0.009152,-0.011666,0.042840,0.017160,0.060000,False
7% crypto (5.0% BTC + 2.0% ETH),0.110432,0.111252,0.588144,0.986867,0.759183,-0.145462,-0.009268,-0.011754,0.049980,0.020020,0.070000,False
8% crypto (5.7% BTC + 2.3% ETH),0.110515,0.112630,0.581680,0.978200,0.729800,-0.151431,-0.009453,-0.011879,0.057120,0.022880,0.080000,False
9% crypto (6.4% BTC + 2.6% ETH),0.110597,0.114301,0.573894,0.970645,0.701058,-0.157757,-0.009630,-0.012037,0.064260,0.025740,0.090000,False
10% crypto (7.1% BTC + 2.9% ETH),0.110679,0.116253,0.564963,0.958519,0.674584,-0.164070,-0.009679,-0.012223,0.071400,0.028600,0.100000,False
